SQ_CANDIDATO;NM_MUNICIPIO;CD_MUNICIPIO;NR_ZONA;DS_SIT_TOT_TURNO;NM_CANDIDATO;SG_PARTIDO;QT_VOTOS_NOMINAIS
230000001944;BOA VISTA;03018;1;SUPLENTE;RAIMUNDA BATISTA DO VALE;PP;7
230000001567;BOA VISTA;03018;5;SUPLENTE;IGOR BRUNO SANTIAGO DE SOUSA;PSC;840
230000001590;BOA VISTA;03018;1;SUPLENTE;SANDRA SANTOS GOMEZ;PMB;40
230000001585;BOA VISTA;03018;1;SUPLENTE;MESSIAS DOS SANTOS SILVA;PMB;66
230000002367;BOA VISTA;03018;1;SUPLENTE;ALCILÉIA DA SILVA GALVÃO;PRTB;2
230000002367;BOA VISTA;03018;5;SUPLENTE;ALCILÉIA DA SILVA GALVÃO;PRTB;14
230000002388;BOA VISTA;03018;1;SUPLENTE;DIRLENE SANTANA DIAS;DEM;6
230000002065;BOA VISTA;03018;5;SUPLENTE;CADSON IGO RAMOS BARATA;PSDC;131
230000002056;BOA VISTA;03018;5;SUPLENTE;ANTONIO ARAÚJO COSTA JÚNIOR;PSB;54
230000002266;CAROEBE;03000;4;SUPLENTE;KARINE  VAZ PEREIRA;PSDC;0
230000001989;CAROEBE;03000;4;SUPLENTE;MELQUIADES DE JESUS PEGO;PEN;14
230000001987;CAROEBE;03000;4;SUPLENTE;DENIS DA CRUZ DA SILVA;PTN;52
230000001457;CAROEBE;03000;4;SUPLENTE;FRANCISCA PEREIRA DA SILVA;PPS;10
230000001993;CAROEBE;03000;4;ELEITO POR QP;OSMAR SERRA BONFIM FILHO;PRP;243
230000001902;MUCAJAÍ;03093;6;SUPLENTE;WELINGTON LUCIO DA SILVA;PMDB;111
230000001897;MUCAJAÍ;03093;6;SUPLENTE;SEBASTIÃO NUNES CRUZ NETO;PMDB;183
230000001844;MUCAJAÍ;03093;6;SUPLENTE;RONY MONTEIRO DA SILVA;PRP;18
230000001819;MUCAJAÍ;03093;6;SUPLENTE;ANTONIO LIMA DE SOUSA;PSDC;110
230000001816;MUCAJAÍ;03093;6;SUPLENTE;IRANILDE PEREIRA SILVA;PSDC;11
230000003020;MUCAJAÍ;03093;6;SUPLENTE;ROBERTO ALVES DE ARAUJO;PSC;24
230000001226;PACARAIMA;03123;7;SUPLENTE;MARIA ELENIZA DA SILVA DANTAS;PP;7
230000001238;PACARAIMA;03123;7;SUPLENTE;VALDETE DA SILVA;PTC;23
230000001220;PACARAIMA;03123;7;ELEITO POR MÉDIA;LAIRES DO CARMO FERNANDES;PP;176
230000000974;PACARAIMA;03123;7;ELEITO POR QP;FRANCISCO SOUSA MELO;PRB;259
230000002507;SÃO LUIZ;03158;4;SUPLENTE;ADEILSON RODRIGUES BREMER;PPS;0
230000001254;SÃO LUIZ;03158;4;NÃO ELEITO;MARIA FRANCISCA MENDES COSTA;PDT;1
230000002406;ALTO ALEGRE;03050;3;SUPLENTE;POLYANA ABREU DE SOUZA;PR;2
230000002238;ALTO ALEGRE;03050;3;SUPLENTE;JAILDA TEIXEIRA BRAGA;PSD;26
230000002230;ALTO ALEGRE;03050;3;NÃO ELEITO;RUDINEI ROGERIO RENNER;PMDB;0
230000001304;ALTO ALEGRE;03050;3;NÃO ELEITO;CREUMY RODRIGUES DA CONCEIÇÃO;PC do B;0
230000001312;ALTO ALEGRE;03050;3;NÃO ELEITO;ANTONIA DOS NAVEGANTES CARVALHO GARRETO;PPL;0
